CustomerID,Title,FirstName,MiddleName,LastName,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
11000,NA,Jon,V,Yang,3761 N. 14th St,NA,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,1966-04-08,Bachelors ,Professional,M,M,1,0,0,2,137947
11001,NA,Eugene,L,Huang,2243 W St.,NA,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,1965-05-14,Bachelors ,Professional,M,S,0,1,3,3,101141
11002,NA,Ruben,NA,Torres,5844 Linden Land,NA,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,1965-08-12,Bachelors ,Professional,M,M,1,1,3,3,91945
11003,NA,Christy,NA,Zhu,1825 Village Pl.,NA,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,1968-02-15,Bachelors ,Professional,F,S,0,1,0,0,86688
11004,NA,Elizabeth,NA,Johnson,7553 Harness Circle,NA,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,1968-08-08,Bachelors ,Professional,F,S,1,4,5,5,92771
11005,NA,Julio,NA,Ruiz,7305 Humphrey Drive,NA,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,1965-08-05,Bachelors ,Professional,M,S,1,1,0,0,103199
11006,NA,Janet,G,Alvarez,2612 Berry Dr,NA,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,1965-12-06,Bachelors ,Professional,F,S,1,1,0,0,84756
11007,NA,Marco,NA,Mehta,942 Brook Street,NA,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1964-05-09,Bachelors ,Professional,M,M,1,2,3,3,109759
11008,NA,Rob,NA,Verhoff,624 Peabody Road,NA,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,1964-07-07,Bachelors ,Professional,F,S,1,3,4,4,88005
11009,NA,Shannon,C,Carlson,3839 Northgate Road,NA,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,1964-04-01,Bachelors ,Professional,M,S,0,1,0,0,106399
